Company name,Job name,Company location,Score,Estimate salary,Average salary,Size,Founded,Type,Industry,Sector,Revenue
Northwestern University,Statistical Analyst,"Chicago, IL",4.3,-1,-1,-1,-1,-1,-1,-1,-1
Live Nation,"Analyst, Analytics & Audience Science","New York, NY",4.1,-1,-1,-1,-1,-1,-1,-1,-1
Mayo Clinic,Data Science Analyst - Obstetrics & Gynecology,"Rochester, MN",4.2,-1,-1,-1,-1,-1,-1,-1,-1
Mayo Clinic,Data Science Analyst - Obstetrics & Gynecology,"Rochester, MN",4.2,-1,-1,-1,-1,-1,-1,-1,-1
Apple,Data Engineer,"Seattle, WA",4.3,-1,-1,-1,-1,-1,-1,-1,-1
Northwestern University,Statistical Analyst,"Chicago, IL",4.3,-1,-1,-1,-1,-1,-1,-1,-1
Live Nation,"Analyst, Analytics & Audience Science","New York, NY",4.1,-1,-1,-1,-1,-1,-1,-1,-1
Mayo Clinic,Data Science Analyst - Obstetrics & Gynecology,"Rochester, MN",4.2,-1,-1,-1,-1,-1,-1,-1,-1
Mayo Clinic,Data Science Analyst - Obstetrics & Gynecology,"Rochester, MN",4.2,-1,-1,-1,-1,-1,-1,-1,-1
Apple,Data Engineer,"Seattle, WA",4.3,-1,-1,-1,-1,-1,-1,-1,-1
Northwestern University,Statistical Analyst,"Chicago, IL",4.3,-1,-1,-1,-1,-1,-1,-1,-1
Live Nation,"Analyst, Analytics & Audience Science","New York, NY",4.1,-1,-1,-1,-1,-1,-1,-1,-1
Mayo Clinic,Data Science Analyst - Obstetrics & Gynecology,"Rochester, MN",4.2,-1,-1,-1,-1,-1,-1,-1,-1
Mayo Clinic,Data Science Analyst - Obstetrics & Gynecology,"Rochester, MN",4.2,-1,-1,-1,-1,-1,-1,-1,-1
Apple,Data Engineer,"Seattle, WA",4.3,-1,-1,-1,-1,-1,-1,-1,-1
Northwestern University,Statistical Analyst,"Chicago, IL",4.3,-1,-1,-1,-1,-1,-1,-1,-1
Live Nation,"Analyst, Analytics & Audience Science","New York, NY",4.1,-1,-1,-1,-1,-1,-1,-1,-1
Mayo Clinic,Data Science Analyst - Obstetrics & Gynecology,"Rochester, MN",4.2,-1,-1,-1,-1,-1,-1,-1,-1
Mayo Clinic,Data Science Analyst - Obstetrics & Gynecology,"Rochester, MN",4.2,-1,-1,-1,-1,-1,-1,-1,-1
Apple,Data Engineer,"Seattle, WA",4.3,-1,-1,-1,-1,-1,-1,-1,-1
Northwestern University,Statistical Analyst,"Chicago, IL",4.3,-1,-1,-1,-1,-1,-1,-1,-1
Live Nation,"Analyst, Analytics & Audience Science","New York, NY",4.1,-1,-1,-1,-1,-1,-1,-1,-1
Mayo Clinic,Data Science Analyst - Obstetrics & Gynecology,"Rochester, MN",4.2,-1,-1,-1,-1,-1,-1,-1,-1
Mayo Clinic,Data Science Analyst - Obstetrics & Gynecology,"Rochester, MN",4.2,-1,-1,-1,-1,-1,-1,-1,-1
Apple,Data Engineer,"Seattle, WA",4.3,-1,-1,-1,-1,-1,-1,-1,-1
Northwestern University,Statistical Analyst,"Chicago, IL",4.3,-1,-1,-1,-1,-1,-1,-1,-1
Live Nation,"Analyst, Analytics & Audience Science","New York, NY",4.1,-1,-1,-1,-1,-1,-1,-1,-1
Mayo Clinic,Data Science Analyst - Obstetrics & Gynecology,"Rochester, MN",4.2,-1,-1,-1,-1,-1,-1,-1,-1
Mayo Clinic,Data Science Analyst - Obstetrics & Gynecology,"Rochester, MN",4.2,-1,-1,-1,-1,-1,-1,-1,-1
Apple,Data Engineer,"Seattle, WA",4.3,-1,-1,-1,-1,-1,-1,-1,-1
Northwestern University,Statistical Analyst,"Chicago, IL",4.3,-1,-1,-1,-1,-1,-1,-1,-1
Live Nation,"Analyst, Analytics & Audience Science","New York, NY",4.1,-1,-1,-1,-1,-1,-1,-1,-1
Mayo Clinic,Data Science Analyst - Obstetrics & Gynecology,"Rochester, MN",4.2,-1,-1,-1,-1,-1,-1,-1,-1
Mayo Clinic,Data Science Analyst - Obstetrics & Gynecology,"Rochester, MN",4.2,-1,-1,-1,-1,-1,-1,-1,-1
Apple,Data Engineer,"Seattle, WA",4.3,-1,-1,-1,-1,-1,-1,-1,-1
Northwestern University,Statistical Analyst,"Chicago, IL",4.3,-1,-1,-1,-1,-1,-1,-1,-1
Live Nation,"Analyst, Analytics & Audience Science","New York, NY",4.1,-1,-1,-1,-1,-1,-1,-1,-1
Mayo Clinic,Data Science Analyst - Obstetrics & Gynecology,"Rochester, MN",4.2,-1,-1,-1,-1,-1,-1,-1,-1
Mayo Clinic,Data Science Analyst - Obstetrics & Gynecology,"Rochester, MN",4.2,-1,-1,-1,-1,-1,-1,-1,-1
Apple,Data Engineer,"Seattle, WA",4.3,-1,-1,-1,-1,-1,-1,-1,-1
Northwestern University,Statistical Analyst,"Chicago, IL",4.3,-1,-1,-1,-1,-1,-1,-1,-1
Live Nation,"Analyst, Analytics & Audience Science","New York, NY",4.1,-1,-1,-1,-1,-1,-1,-1,-1
Mayo Clinic,Data Science Analyst - Obstetrics & Gynecology,"Rochester, MN",4.2,-1,-1,-1,-1,-1,-1,-1,-1
Mayo Clinic,Data Science Analyst - Obstetrics & Gynecology,"Rochester, MN",4.2,-1,-1,-1,-1,-1,-1,-1,-1
Apple,Data Engineer,"Seattle, WA",4.3,-1,-1,-1,-1,-1,-1,-1,-1
Northwestern University,Statistical Analyst,"Chicago, IL",4.3,-1,-1,-1,-1,-1,-1,-1,-1
Live Nation,"Analyst, Analytics & Audience Science","New York, NY",4.1,-1,-1,-1,-1,-1,-1,-1,-1
Mayo Clinic,Data Science Analyst - Obstetrics & Gynecology,"Rochester, MN",4.2,-1,-1,-1,-1,-1,-1,-1,-1
Mayo Clinic,Data Science Analyst - Obstetrics & Gynecology,"Rochester, MN",4.2,-1,-1,-1,-1,-1,-1,-1,-1
Apple,Data Engineer,"Seattle, WA",4.3,-1,-1,-1,-1,-1,-1,-1,-1
Northwestern University,Statistical Analyst,"Chicago, IL",4.3,-1,-1,-1,-1,-1,-1,-1,-1
Live Nation,"Analyst, Analytics & Audience Science","New York, NY",4.1,-1,-1,-1,-1,-1,-1,-1,-1
Mayo Clinic,Data Science Analyst - Obstetrics & Gynecology,"Rochester, MN",4.2,-1,-1,-1,-1,-1,-1,-1,-1
Mayo Clinic,Data Science Analyst - Obstetrics & Gynecology,"Rochester, MN",4.2,-1,-1,-1,-1,-1,-1,-1,-1
Apple,Data Engineer,"Seattle, WA",4.3,-1,-1,-1,-1,-1,-1,-1,-1
Northwestern University,Statistical Analyst,"Chicago, IL",4.3,-1,-1,-1,-1,-1,-1,-1,-1
Live Nation,"Analyst, Analytics & Audience Science","New York, NY",4.1,-1,-1,-1,-1,-1,-1,-1,-1
Mayo Clinic,Data Science Analyst - Obstetrics & Gynecology,"Rochester, MN",4.2,-1,-1,-1,-1,-1,-1,-1,-1
Mayo Clinic,Data Science Analyst - Obstetrics & Gynecology,"Rochester, MN",4.2,-1,-1,-1,-1,-1,-1,-1,-1
Apple,Data Engineer,"Seattle, WA",4.3,-1,-1,-1,-1,-1,-1,-1,-1
Northwestern University,Statistical Analyst,"Chicago, IL",4.3,-1,-1,-1,-1,-1,-1,-1,-1
Live Nation,"Analyst, Analytics & Audience Science","New York, NY",4.1,-1,-1,-1,-1,-1,-1,-1,-1
Mayo Clinic,Data Science Analyst - Obstetrics & Gynecology,"Rochester, MN",4.2,-1,-1,-1,-1,-1,-1,-1,-1
Mayo Clinic,Data Science Analyst - Obstetrics & Gynecology,"Rochester, MN",4.2,-1,-1,-1,-1,-1,-1,-1,-1
Apple,Data Engineer,"Seattle, WA",4.3,-1,-1,-1,-1,-1,-1,-1,-1
Northwestern University,Statistical Analyst,"Chicago, IL",4.3,-1,-1,-1,-1,-1,-1,-1,-1
Live Nation,"Analyst, Analytics & Audience Science","New York, NY",4.1,-1,-1,-1,-1,-1,-1,-1,-1
Mayo Clinic,Data Science Analyst - Obstetrics & Gynecology,"Rochester, MN",4.2,-1,-1,-1,-1,-1,-1,-1,-1
Mayo Clinic,Data Science Analyst - Obstetrics & Gynecology,"Rochester, MN",4.2,-1,-1,-1,-1,-1,-1,-1,-1
Apple,Data Engineer,"Seattle, WA",4.3,-1,-1,-1,-1,-1,-1,-1,-1
Northwestern University,Statistical Analyst,"Chicago, IL",4.3,-1,-1,-1,-1,-1,-1,-1,-1
Live Nation,"Analyst, Analytics & Audience Science","New York, NY",4.1,-1,-1,-1,-1,-1,-1,-1,-1
Mayo Clinic,Data Science Analyst - Obstetrics & Gynecology,"Rochester, MN",4.2,-1,-1,-1,-1,-1,-1,-1,-1
Mayo Clinic,Data Science Analyst - Obstetrics & Gynecology,"Rochester, MN",4.2,-1,-1,-1,-1,-1,-1,-1,-1
Apple,Data Engineer,"Seattle, WA",4.3,-1,-1,-1,-1,-1,-1,-1,-1
Northwestern University,Statistical Analyst,"Chicago, IL",4.3,-1,-1,-1,-1,-1,-1,-1,-1
Live Nation,"Analyst, Analytics & Audience Science","New York, NY",4.1,-1,-1,-1,-1,-1,-1,-1,-1
Mayo Clinic,Data Science Analyst - Obstetrics & Gynecology,"Rochester, MN",4.2,-1,-1,-1,-1,-1,-1,-1,-1
Mayo Clinic,Data Science Analyst - Obstetrics & Gynecology,"Rochester, MN",4.2,-1,-1,-1,-1,-1,-1,-1,-1
Apple,Data Engineer,"Seattle, WA",4.3,-1,-1,-1,-1,-1,-1,-1,-1
Northwestern University,Statistical Analyst,"Chicago, IL",4.3,-1,-1,-1,-1,-1,-1,-1,-1
Live Nation,"Analyst, Analytics & Audience Science","New York, NY",4.1,-1,-1,-1,-1,-1,-1,-1,-1
Mayo Clinic,Data Science Analyst - Obstetrics & Gynecology,"Rochester, MN",4.2,-1,-1,-1,-1,-1,-1,-1,-1
Mayo Clinic,Data Science Analyst - Obstetrics & Gynecology,"Rochester, MN",4.2,-1,-1,-1,-1,-1,-1,-1,-1
Apple,Data Engineer,"Seattle, WA",4.3,-1,-1,-1,-1,-1,-1,-1,-1
Northwestern University,Statistical Analyst,"Chicago, IL",4.3,-1,-1,-1,-1,-1,-1,-1,-1
Live Nation,"Analyst, Analytics & Audience Science","New York, NY",4.1,-1,-1,-1,-1,-1,-1,-1,-1
Mayo Clinic,Data Science Analyst - Obstetrics & Gynecology,"Rochester, MN",4.2,-1,-1,-1,-1,-1,-1,-1,-1
Mayo Clinic,Data Science Analyst - Obstetrics & Gynecology,"Rochester, MN",4.2,-1,-1,-1,-1,-1,-1,-1,-1
Apple,Data Engineer,"Seattle, WA",4.3,-1,-1,-1,-1,-1,-1,-1,-1
Northwestern University,Statistical Analyst,"Chicago, IL",4.3,-1,-1,-1,-1,-1,-1,-1,-1
Live Nation,"Analyst, Analytics & Audience Science","New York, NY",4.1,-1,-1,-1,-1,-1,-1,-1,-1
Mayo Clinic,Data Science Analyst - Obstetrics & Gynecology,"Rochester, MN",4.2,-1,-1,-1,-1,-1,-1,-1,-1
Mayo Clinic,Data Science Analyst - Obstetrics & Gynecology,"Rochester, MN",4.2,-1,-1,-1,-1,-1,-1,-1,-1
Apple,Data Engineer,"Seattle, WA",4.3,-1,-1,-1,-1,-1,-1,-1,-1
Northwestern University,Statistical Analyst,"Chicago, IL",4.3,-1,-1,-1,-1,-1,-1,-1,-1
Live Nation,"Analyst, Analytics & Audience Science","New York, NY",4.1,-1,-1,-1,-1,-1,-1,-1,-1
Mayo Clinic,Data Science Analyst - Obstetrics & Gynecology,"Rochester, MN",4.2,-1,-1,-1,-1,-1,-1,-1,-1
Mayo Clinic,Data Science Analyst - Obstetrics & Gynecology,"Rochester, MN",4.2,-1,-1,-1,-1,-1,-1,-1,-1
Apple,Data Engineer,"Seattle, WA",4.3,-1,-1,-1,-1,-1,-1,-1,-1
Northwestern University,Statistical Analyst,"Chicago, IL",4.3,-1,-1,-1,-1,-1,-1,-1,-1
Live Nation,"Analyst, Analytics & Audience Science","New York, NY",4.1,-1,-1,-1,-1,-1,-1,-1,-1
Mayo Clinic,Data Science Analyst - Obstetrics & Gynecology,"Rochester, MN",4.2,-1,-1,-1,-1,-1,-1,-1,-1
Mayo Clinic,Data Science Analyst - Obstetrics & Gynecology,"Rochester, MN",4.2,-1,-1,-1,-1,-1,-1,-1,-1
Apple,Data Engineer,"Seattle, WA",4.3,-1,-1,-1,-1,-1,-1,-1,-1
Northwestern University,Statistical Analyst,"Chicago, IL",4.3,-1,-1,-1,-1,-1,-1,-1,-1
Live Nation,"Analyst, Analytics & Audience Science","New York, NY",4.1,-1,-1,-1,-1,-1,-1,-1,-1
Mayo Clinic,Data Science Analyst - Obstetrics & Gynecology,"Rochester, MN",4.2,-1,-1,-1,-1,-1,-1,-1,-1
Mayo Clinic,Data Science Analyst - Obstetrics & Gynecology,"Rochester, MN",4.2,-1,-1,-1,-1,-1,-1,-1,-1
Apple,Data Engineer,"Seattle, WA",4.3,-1,-1,-1,-1,-1,-1,-1,-1
Northwestern University,Statistical Analyst,"Chicago, IL",4.3,-1,-1,-1,-1,-1,-1,-1,-1
Live Nation,"Analyst, Analytics & Audience Science","New York, NY",4.1,-1,-1,-1,-1,-1,-1,-1,-1
Mayo Clinic,Data Science Analyst - Obstetrics & Gynecology,"Rochester, MN",4.2,-1,-1,-1,-1,-1,-1,-1,-1
Mayo Clinic,Data Science Analyst - Obstetrics & Gynecology,"Rochester, MN",4.2,-1,-1,-1,-1,-1,-1,-1,-1
Apple,Data Engineer,"Seattle, WA",4.3,-1,-1,-1,-1,-1,-1,-1,-1
Northwestern University,Statistical Analyst,"Chicago, IL",4.3,-1,-1,-1,-1,-1,-1,-1,-1
Live Nation,"Analyst, Analytics & Audience Science","New York, NY",4.1,-1,-1,-1,-1,-1,-1,-1,-1
Mayo Clinic,Data Science Analyst - Obstetrics & Gynecology,"Rochester, MN",4.2,-1,-1,-1,-1,-1,-1,-1,-1
Mayo Clinic,Data Science Analyst - Obstetrics & Gynecology,"Rochester, MN",4.2,-1,-1,-1,-1,-1,-1,-1,-1
Apple,Data Engineer,"Seattle, WA",4.3,-1,-1,-1,-1,-1,-1,-1,-1
Northwestern University,Statistical Analyst,"Chicago, IL",4.3,-1,-1,-1,-1,-1,-1,-1,-1
Live Nation,"Analyst, Analytics & Audience Science","New York, NY",4.1,-1,-1,-1,-1,-1,-1,-1,-1
Mayo Clinic,Data Science Analyst - Obstetrics & Gynecology,"Rochester, MN",4.2,-1,-1,-1,-1,-1,-1,-1,-1
Mayo Clinic,Data Science Analyst - Obstetrics & Gynecology,"Rochester, MN",4.2,-1,-1,-1,-1,-1,-1,-1,-1
Apple,Data Engineer,"Seattle, WA",4.3,-1,-1,-1,-1,-1,-1,-1,-1
Northwestern University,Statistical Analyst,"Chicago, IL",4.3,-1,-1,-1,-1,-1,-1,-1,-1
Live Nation,"Analyst, Analytics & Audience Science","New York, NY",4.1,-1,-1,-1,-1,-1,-1,-1,-1
Mayo Clinic,Data Science Analyst - Obstetrics & Gynecology,"Rochester, MN",4.2,-1,-1,-1,-1,-1,-1,-1,-1
Mayo Clinic,Data Science Analyst - Obstetrics & Gynecology,"Rochester, MN",4.2,-1,-1,-1,-1,-1,-1,-1,-1
Apple,Data Engineer,"Seattle, WA",4.3,-1,-1,-1,-1,-1,-1,-1,-1
Northwestern University,Statistical Analyst,"Chicago, IL",4.3,-1,-1,-1,-1,-1,-1,-1,-1
Live Nation,"Analyst, Analytics & Audience Science","New York, NY",4.1,-1,-1,-1,-1,-1,-1,-1,-1
Mayo Clinic,Data Science Analyst - Obstetrics & Gynecology,"Rochester, MN",4.2,-1,-1,-1,-1,-1,-1,-1,-1
Mayo Clinic,Data Science Analyst - Obstetrics & Gynecology,"Rochester, MN",4.2,-1,-1,-1,-1,-1,-1,-1,-1
Apple,Data Engineer,"Seattle, WA",4.3,-1,-1,-1,-1,-1,-1,-1,-1
Northwestern University,Statistical Analyst,"Chicago, IL",4.3,-1,-1,-1,-1,-1,-1,-1,-1
Live Nation,"Analyst, Analytics & Audience Science","New York, NY",4.1,-1,-1,-1,-1,-1,-1,-1,-1
Mayo Clinic,Data Science Analyst - Obstetrics & Gynecology,"Rochester, MN",4.2,-1,-1,-1,-1,-1,-1,-1,-1
Mayo Clinic,Data Science Analyst - Obstetrics & Gynecology,"Rochester, MN",4.2,-1,-1,-1,-1,-1,-1,-1,-1
Apple,Data Engineer,"Seattle, WA",4.3,-1,-1,-1,-1,-1,-1,-1,-1
Northwestern University,Statistical Analyst,"Chicago, IL",4.3,-1,-1,-1,-1,-1,-1,-1,-1
Live Nation,"Analyst, Analytics & Audience Science","New York, NY",4.1,-1,-1,-1,-1,-1,-1,-1,-1
Mayo Clinic,Data Science Analyst - Obstetrics & Gynecology,"Rochester, MN",4.2,-1,-1,-1,-1,-1,-1,-1,-1
Mayo Clinic,Data Science Analyst - Obstetrics & Gynecology,"Rochester, MN",4.2,-1,-1,-1,-1,-1,-1,-1,-1
Apple,Data Engineer,"Seattle, WA",4.3,-1,-1,-1,-1,-1,-1,-1,-1
Northwestern University,Statistical Analyst,"Chicago, IL",4.3,-1,-1,-1,-1,-1,-1,-1,-1
Live Nation,"Analyst, Analytics & Audience Science","New York, NY",4.1,-1,-1,-1,-1,-1,-1,-1,-1
Mayo Clinic,Data Science Analyst - Obstetrics & Gynecology,"Rochester, MN",4.2,-1,-1,-1,-1,-1,-1,-1,-1
Mayo Clinic,Data Science Analyst - Obstetrics & Gynecology,"Rochester, MN",4.2,-1,-1,-1,-1,-1,-1,-1,-1
Apple,Data Engineer,"Seattle, WA",4.3,-1,-1,-1,-1,-1,-1,-1,-1
Northwestern University,Statistical Analyst,"Chicago, IL",4.3,-1,-1,-1,-1,-1,-1,-1,-1
Live Nation,"Analyst, Analytics & Audience Science","New York, NY",4.1,-1,-1,-1,-1,-1,-1,-1,-1
Mayo Clinic,Data Science Analyst - Obstetrics & Gynecology,"Rochester, MN",4.2,-1,-1,-1,-1,-1,-1,-1,-1
Mayo Clinic,Data Science Analyst - Obstetrics & Gynecology,"Rochester, MN",4.2,-1,-1,-1,-1,-1,-1,-1,-1
Apple,Data Engineer,"Seattle, WA",4.3,-1,-1,-1,-1,-1,-1,-1,-1
Northwestern University,Statistical Analyst,"Chicago, IL",4.3,-1,-1,-1,-1,-1,-1,-1,-1
Live Nation,"Analyst, Analytics & Audience Science","New York, NY",4.1,-1,-1,-1,-1,-1,-1,-1,-1
Mayo Clinic,Data Science Analyst - Obstetrics & Gynecology,"Rochester, MN",4.2,-1,-1,-1,-1,-1,-1,-1,-1
Mayo Clinic,Data Science Analyst - Obstetrics & Gynecology,"Rochester, MN",4.2,-1,-1,-1,-1,-1,-1,-1,-1
Apple,Data Engineer,"Seattle, WA",4.3,-1,-1,-1,-1,-1,-1,-1,-1
Northwestern University,Statistical Analyst,"Chicago, IL",4.3,-1,-1,-1,-1,-1,-1,-1,-1
Live Nation,"Analyst, Analytics & Audience Science","New York, NY",4.1,-1,-1,-1,-1,-1,-1,-1,-1
Mayo Clinic,Data Science Analyst - Obstetrics & Gynecology,"Rochester, MN",4.2,-1,-1,-1,-1,-1,-1,-1,-1
Mayo Clinic,Data Science Analyst - Obstetrics & Gynecology,"Rochester, MN",4.2,-1,-1,-1,-1,-1,-1,-1,-1
Apple,Data Engineer,"Seattle, WA",4.3,-1,-1,-1,-1,-1,-1,-1,-1
Northwestern University,Statistical Analyst,"Chicago, IL",4.3,-1,-1,-1,-1,-1,-1,-1,-1
Live Nation,"Analyst, Analytics & Audience Science","New York, NY",4.1,-1,-1,-1,-1,-1,-1,-1,-1
Mayo Clinic,Data Science Analyst - Obstetrics & Gynecology,"Rochester, MN",4.2,-1,-1,-1,-1,-1,-1,-1,-1
Mayo Clinic,Data Science Analyst - Obstetrics & Gynecology,"Rochester, MN",4.2,-1,-1,-1,-1,-1,-1,-1,-1
Apple,Data Engineer,"Seattle, WA",4.3,-1,-1,-1,-1,-1,-1,-1,-1
Northwestern University,Statistical Analyst,"Chicago, IL",4.3,-1,-1,-1,-1,-1,-1,-1,-1
Live Nation,"Analyst, Analytics & Audience Science","New York, NY",4.1,-1,-1,-1,-1,-1,-1,-1,-1
Mayo Clinic,Data Science Analyst - Obstetrics & Gynecology,"Rochester, MN",4.2,-1,-1,-1,-1,-1,-1,-1,-1
Mayo Clinic,Data Science Analyst - Obstetrics & Gynecology,"Rochester, MN",4.2,-1,-1,-1,-1,-1,-1,-1,-1
Apple,Data Engineer,"Seattle, WA",4.3,-1,-1,-1,-1,-1,-1,-1,-1
Northwestern University,Statistical Analyst,"Chicago, IL",4.3,-1,-1,-1,-1,-1,-1,-1,-1
Live Nation,"Analyst, Analytics & Audience Science","New York, NY",4.1,-1,-1,-1,-1,-1,-1,-1,-1
Mayo Clinic,Data Science Analyst - Obstetrics & Gynecology,"Rochester, MN",4.2,-1,-1,-1,-1,-1,-1,-1,-1
Mayo Clinic,Data Science Analyst - Obstetrics & Gynecology,"Rochester, MN",4.2,-1,-1,-1,-1,-1,-1,-1,-1
Apple,Data Engineer,"Seattle, WA",4.3,-1,-1,-1,-1,-1,-1,-1,-1
Northwestern University,Statistical Analyst,"Chicago, IL",4.3,-1,-1,-1,-1,-1,-1,-1,-1
Live Nation,"Analyst, Analytics & Audience Science","New York, NY",4.1,-1,-1,-1,-1,-1,-1,-1,-1
Mayo Clinic,Data Science Analyst - Obstetrics & Gynecology,"Rochester, MN",4.2,-1,-1,-1,-1,-1,-1,-1,-1
Mayo Clinic,Data Science Analyst - Obstetrics & Gynecology,"Rochester, MN",4.2,-1,-1,-1,-1,-1,-1,-1,-1
Apple,Data Engineer,"Seattle, WA",4.3,-1,-1,-1,-1,-1,-1,-1,-1
Northwestern University,Statistical Analyst,"Chicago, IL",4.3,-1,-1,-1,-1,-1,-1,-1,-1
Live Nation,"Analyst, Analytics & Audience Science","New York, NY",4.1,-1,-1,-1,-1,-1,-1,-1,-1
Mayo Clinic,Data Science Analyst - Obstetrics & Gynecology,"Rochester, MN",4.2,-1,-1,-1,-1,-1,-1,-1,-1
Mayo Clinic,Data Science Analyst - Obstetrics & Gynecology,"Rochester, MN",4.2,-1,-1,-1,-1,-1,-1,-1,-1
Apple,Data Engineer,"Seattle, WA",4.3,-1,-1,-1,-1,-1,-1,-1,-1
Northwestern University,Statistical Analyst,"Chicago, IL",4.3,-1,-1,-1,-1,-1,-1,-1,-1
Live Nation,"Analyst, Analytics & Audience Science","New York, NY",4.1,-1,-1,-1,-1,-1,-1,-1,-1
Mayo Clinic,Data Science Analyst - Obstetrics & Gynecology,"Rochester, MN",4.2,-1,-1,-1,-1,-1,-1,-1,-1
Mayo Clinic,Data Science Analyst - Obstetrics & Gynecology,"Rochester, MN",4.2,-1,-1,-1,-1,-1,-1,-1,-1
Apple,Data Engineer,"Seattle, WA",4.3,-1,-1,-1,-1,-1,-1,-1,-1
Northwestern University,Statistical Analyst,"Chicago, IL",4.3,-1,-1,-1,-1,-1,-1,-1,-1
Live Nation,"Analyst, Analytics & Audience Science","New York, NY",4.1,-1,-1,-1,-1,-1,-1,-1,-1
Mayo Clinic,Data Science Analyst - Obstetrics & Gynecology,"Rochester, MN",4.2,-1,-1,-1,-1,-1,-1,-1,-1
Mayo Clinic,Data Science Analyst - Obstetrics & Gynecology,"Rochester, MN",4.2,-1,-1,-1,-1,-1,-1,-1,-1
Apple,Data Engineer,"Seattle, WA",4.3,-1,-1,-1,-1,-1,-1,-1,-1
Northwestern University,Statistical Analyst,"Chicago, IL",4.3,-1,-1,-1,-1,-1,-1,-1,-1
Live Nation,"Analyst, Analytics & Audience Science","New York, NY",4.1,-1,-1,-1,-1,-1,-1,-1,-1
Mayo Clinic,Data Science Analyst - Obstetrics & Gynecology,"Rochester, MN",4.2,-1,-1,-1,-1,-1,-1,-1,-1
Mayo Clinic,Data Science Analyst - Obstetrics & Gynecology,"Rochester, MN",4.2,-1,-1,-1,-1,-1,-1,-1,-1
Apple,Data Engineer,"Seattle, WA",4.3,-1,-1,-1,-1,-1,-1,-1,-1
Northwestern University,Statistical Analyst,"Chicago, IL",4.3,-1,-1,-1,-1,-1,-1,-1,-1
Live Nation,"Analyst, Analytics & Audience Science","New York, NY",4.1,-1,-1,-1,-1,-1,-1,-1,-1
Mayo Clinic,Data Science Analyst - Obstetrics & Gynecology,"Rochester, MN",4.2,-1,-1,-1,-1,-1,-1,-1,-1
Mayo Clinic,Data Science Analyst - Obstetrics & Gynecology,"Rochester, MN",4.2,-1,-1,-1,-1,-1,-1,-1,-1
Apple,Data Engineer,"Seattle, WA",4.3,-1,-1,-1,-1,-1,-1,-1,-1
Northwestern University,Statistical Analyst,"Chicago, IL",4.3,-1,-1,-1,-1,-1,-1,-1,-1
Live Nation,"Analyst, Analytics & Audience Science","New York, NY",4.1,-1,-1,-1,-1,-1,-1,-1,-1
Mayo Clinic,Data Science Analyst - Obstetrics & Gynecology,"Rochester, MN",4.2,-1,-1,-1,-1,-1,-1,-1,-1
Mayo Clinic,Data Science Analyst - Obstetrics & Gynecology,"Rochester, MN",4.2,-1,-1,-1,-1,-1,-1,-1,-1
Apple,Data Engineer,"Seattle, WA",4.3,-1,-1,-1,-1,-1,-1,-1,-1
Northwestern University,Statistical Analyst,"Chicago, IL",4.3,-1,-1,-1,-1,-1,-1,-1,-1
Live Nation,"Analyst, Analytics & Audience Science","New York, NY",4.1,-1,-1,-1,-1,-1,-1,-1,-1
Mayo Clinic,Data Science Analyst - Obstetrics & Gynecology,"Rochester, MN",4.2,-1,-1,-1,-1,-1,-1,-1,-1
Mayo Clinic,Data Science Analyst - Obstetrics & Gynecology,"Rochester, MN",4.2,-1,-1,-1,-1,-1,-1,-1,-1
Apple,Data Engineer,"Seattle, WA",4.3,-1,-1,-1,-1,-1,-1,-1,-1
Northwestern University,Statistical Analyst,"Chicago, IL",4.3,-1,-1,-1,-1,-1,-1,-1,-1
Live Nation,"Analyst, Analytics & Audience Science","New York, NY",4.1,-1,-1,-1,-1,-1,-1,-1,-1
Mayo Clinic,Data Science Analyst - Obstetrics & Gynecology,"Rochester, MN",4.2,-1,-1,-1,-1,-1,-1,-1,-1
Mayo Clinic,Data Science Analyst - Obstetrics & Gynecology,"Rochester, MN",4.2,-1,-1,-1,-1,-1,-1,-1,-1
Apple,Data Engineer,"Seattle, WA",4.3,-1,-1,-1,-1,-1,-1,-1,-1
Northwestern University,Statistical Analyst,"Chicago, IL",4.3,-1,-1,-1,-1,-1,-1,-1,-1
Live Nation,"Analyst, Analytics & Audience Science","New York, NY",4.1,-1,-1,-1,-1,-1,-1,-1,-1
Mayo Clinic,Data Science Analyst - Obstetrics & Gynecology,"Rochester, MN",4.2,-1,-1,-1,-1,-1,-1,-1,-1
Mayo Clinic,Data Science Analyst - Obstetrics & Gynecology,"Rochester, MN",4.2,-1,-1,-1,-1,-1,-1,-1,-1
Apple,Data Engineer,"Seattle, WA",4.3,-1,-1,-1,-1,-1,-1,-1,-1
Northwestern University,Statistical Analyst,"Chicago, IL",4.3,-1,-1,-1,-1,-1,-1,-1,-1
Live Nation,"Analyst, Analytics & Audience Science","New York, NY",4.1,-1,-1,-1,-1,-1,-1,-1,-1
Mayo Clinic,Data Science Analyst - Obstetrics & Gynecology,"Rochester, MN",4.2,-1,-1,-1,-1,-1,-1,-1,-1
Mayo Clinic,Data Science Analyst - Obstetrics & Gynecology,"Rochester, MN",4.2,-1,-1,-1,-1,-1,-1,-1,-1
Apple,Data Engineer,"Seattle, WA",4.3,-1,-1,-1,-1,-1,-1,-1,-1
Northwestern University,Statistical Analyst,"Chicago, IL",4.3,-1,-1,-1,-1,-1,-1,-1,-1
Live Nation,"Analyst, Analytics & Audience Science","New York, NY",4.1,-1,-1,-1,-1,-1,-1,-1,-1
