Company name,Job name,Company location,Score,Estimate salary,Average salary,Size,Founded,Type,Industry,Sector,Revenue
Hilton Grand Vacations,Data Scientist,"Orlando, FL",3.9,-1,-1,5001 to 10000 Employees,1992,Company - Public,"Hotels, Motels, & Resorts",Travel & Tourism,Unknown / Non-Applicable
UCLA,Data Scientist,"Los Angeles, CA",4.3,-1,-1,1001 to 5000 Employees,1919,College / University,Colleges & Universities,Education,$500 million to $1 billion (USD)
Apple,Computational Support for Machine Learning and LSTM,United States,4.3,-1,-1,10000+ Employees,1976,Company - Public,Computer Hardware & Software,Information Technology,$10+ billion (USD)
Apple,"Data Scientist, Health Strategic Initiatives",United States,4.3,-1,-1,10000+ Employees,1976,Company - Public,Computer Hardware & Software,Information Technology,$10+ billion (USD)
Gtmhub,Data Science and Analytics Lead,"Denver, CO",4.2,$135K - $175K (Employer est.),"$155,000 /yr (est.)",Unknown,2015,Company - Public,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
The Urban Institute,Data Science and Senior Research Associate,"Washington, DC",3.7,-1,-1,501 to 1000 Employees,1968,Nonprofit Organization,Grantmaking Foundations,Non-Profit,$50 to $100 million (USD)
Nike,"Senior Data Scientist, LTV and Segmentation","New York, NY",4.1,-1,-1,10000+ Employees,1972,Company - Public,Consumer Products Manufacturing,Manufacturing,$10+ billion (USD)
Microsoft,Data & Applied Sciences: Full Time Opportunities for PhD Graduates,"Redmond, WA",4.4,-1,-1,10000+ Employees,1975,Company - Public,Computer Hardware & Software,Information Technology,$10+ billion (USD)
Optiver US,Graduate Data Scientist (2022 Start - Chicago),"Chicago, IL",4.2,-1,-1,501 to 1000 Employees,1986,Company - Private,Stock Exchanges,Finance,$500 million to $1 billion (USD)
CBRE,Data Scientist,"Richardson, TX",3.9,-1,-1,10000+ Employees,1906,Company - Public,Real Estate,Real Estate,Unknown / Non-Applicable
Roku,"Senior Analyst, Data Science","San Jose, CA",4.1,-1,-1,1001 to 5000 Employees,2002,Company - Public,IT Services,Information Technology,$500 million to $1 billion (USD)
Apple,"AI/ML - Machine Learning Engineer, Information Intelligence","Seattle, WA",4.3,-1,-1,10000+ Employees,1976,Company - Public,Computer Hardware & Software,Information Technology,$10+ billion (USD)
"Amazon Web Services, Inc.",2022 Software Development Engineer - Big Data,"Seattle, WA",3.8,-1,-1,10000+ Employees,1994,Company - Public,Internet,Information Technology,$10+ billion (USD)
TikTok,Data Scientist - Tiktok Ads Growth,"Mountain View, CA",3.7,-1,-1,501 to 1000 Employees,2016,Company - Private,Internet,Information Technology,Unknown / Non-Applicable
TikTok,Data Scientist - Tiktok Ads Growth,"Mountain View, CA",3.7,-1,-1,501 to 1000 Employees,2016,Company - Private,Internet,Information Technology,Unknown / Non-Applicable
Nike,DATA ANALYTICS MGR I,"Boston, MA",4.1,-1,-1,10000+ Employees,1972,Company - Public,Consumer Products Manufacturing,Manufacturing,$10+ billion (USD)
TikTok,Data Scientist - Strategy & Analytics,"Los Angeles, CA",3.7,-1,-1,501 to 1000 Employees,2016,Company - Private,Internet,Information Technology,Unknown / Non-Applicable
Apple,"Data Scientist, Strategist - Apple Retail Online","Austin, TX",4.3,-1,-1,10000+ Employees,1976,Company - Public,Computer Hardware & Software,Information Technology,$10+ billion (USD)
Glacier,Data Science Engineer (AI),"San Francisco, CA",3.9,-1,-1,51 to 200 Employees,Company - Public,$10 to $25 million (USD),-1,-1,-1
Optiver US,Graduate Data Scientist (2022 Start - Chicago),"Chicago, IL",4.2,-1,-1,501 to 1000 Employees,1986,Company - Private,Stock Exchanges,Finance,$500 million to $1 billion (USD)
TARGET,Lead Data Analyst - FRS BI & Analytics,"Brooklyn Park, MN",3.7,-1,-1,10000+ Employees,1962,Company - Public,General Merchandise & Superstores,Retail,$10+ billion (USD)
Starbucks,"data scientist, Inclusion & Diversity Workforce Analytics - Seattle, WA or Remote","Seattle, WA",3.8,-1,-1,10000+ Employees,1971,Company - Public,Fast-Food & Quick-Service Restaurants,"Restaurants, Bars & Food Services",$10+ billion (USD)
Apple,"AI/ML - Data Scientist, Siri Data","Seattle, WA",4.3,-1,-1,10000+ Employees,1976,Company - Public,Computer Hardware & Software,Information Technology,$10+ billion (USD)
Nike,EXPERT DATA SCIENTIST (GLOBAL COMMERCIAL ANALYTICS- S&IP OPTIMIZATION),"Beaverton, OR",4.1,-1,-1,10000+ Employees,1972,Company - Public,Consumer Products Manufacturing,Manufacturing,$10+ billion (USD)
Salesforce,Machine Learning/Data Science Engineer,"San Francisco, CA",4.4,$82K (Employer est.),"$82,400 /yr (est.)",10000+ Employees,1999,Company - Public,Computer Hardware & Software,Information Technology,$10+ billion (USD)
Stealth Mode Startup,"Data Scientist, System Analytics","Newark, CA",4.2,-1,-1,1 to 50 Employees,Unknown,Less than $1 million (USD),-1,-1,-1
"Amazon Web Services, Inc.",2022 Software Development Engineer - Big Data,"Seattle, WA",3.8,-1,-1,10000+ Employees,1994,Company - Public,Internet,Information Technology,$10+ billion (USD)
Apple,"AI/ML - Machine Learning Engineer, Information Intelligence","Seattle, WA",4.3,-1,-1,10000+ Employees,1976,Company - Public,Computer Hardware & Software,Information Technology,$10+ billion (USD)
CBRE,Data Scientist,"Richardson, TX",3.9,-1,-1,10000+ Employees,1906,Company - Public,Real Estate,Real Estate,Unknown / Non-Applicable
UCLA,Data Scientist,"Los Angeles, CA",4.3,-1,-1,1001 to 5000 Employees,1919,College / University,Colleges & Universities,Education,$500 million to $1 billion (USD)
Microsoft,MAIDAP Program Manager: Full Time Opportunities for University Graduates,"Cambridge, MA",4.4,-1,-1,10000+ Employees,1975,Company - Public,Computer Hardware & Software,Information Technology,$10+ billion (USD)
Apple,Machine Learning Data Engineer-Photos,United States,4.3,-1,-1,10000+ Employees,1976,Company - Public,Computer Hardware & Software,Information Technology,$10+ billion (USD)
Teladoc Health,"Data Science Manager, Growth Analytics","Austin, TX",4.0,-1,-1,1001 to 5000 Employees,2002,Company - Public,Health Care Services & Hospitals,Health Care,$100 to $500 million (USD)
World Bank Group,Economist,"Washington, DC",4.2,-1,-1,10000+ Employees,1945,Nonprofit Organization,Lending,Finance,$5 to $10 billion (USD)
McDonald's Corporate,"Data Scientist, Triage - McD Tech Labs","Mountain View, CA",3.5,-1,-1,10000+ Employees,1955,Company - Public,Fast-Food & Quick-Service Restaurants,"Restaurants, Bars & Food Services",$10+ billion (USD)
TikTok,Data Analytics Manager - Tiktok Ads,"Mountain View, CA",3.7,-1,-1,501 to 1000 Employees,2016,Company - Private,Internet,Information Technology,Unknown / Non-Applicable
Neiman Marcus,Data Scientist,"Dallas, TX",3.3,-1,-1,10000+ Employees,1907,Company - Private,"Department, Clothing, & Shoe Stores",Retail,$5 to $10 billion (USD)
Apple,Data Scientist — Apple Cloud Services (R & Shiny),"San Francisco, CA",4.3,-1,-1,10000+ Employees,1976,Company - Public,Computer Hardware & Software,Information Technology,$10+ billion (USD)
